Zillow zpid,Street Address,City,Zip Code,State,Status,Neighborhood,Type,Number of Beds,Number of Bathrooms,price,Property Value Estimate,Property Rent Estimate,Days on Zillow,Time on Zillow,brokerageName,Date_Posted,Last Sold Price,Lot Size,Lot Area Value,lot Area Units,Year Built,CountyID,ThirtyYearFixedRate,ParcelID,countyFIPS
1959969,415 Sheridan Ave S,Minneapolis,55405,MN,FOR_SALE,Bryn Mawr,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$475000,$459300,$2244,94 Days,94 days,Keller Williams Realty Integrity-Edina,2023-11-15,$350000,8712,8712,Square Feet,1978,2339,6.58,2902920000000,27053
1991181,2844 Sunset Blvd,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,5 Bedrooms,3  Bathrooms,$729000,UNKNOWN,$3931,4 Days,4 days,Keller Williams Integrity Realty,2024-02-13,$213750,7405,7405.2,Square Feet,1948,2339,6.615,3202920000000,27053
1850158,2130 Queen Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$120000,UNKNOWN,UNKNOWN,1 Days,1 day,REMAX Results,2024-02-16,$152000,5662,5662.8,Square Feet,1900,2339,NULL,1702920000000,27053
1718110,3532 Humboldt Ave S,Minneapolis,55408,MN,FOR_SALE,East Calhoun,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$549900,$581800,$1695,8 Days,8 days,Coldwell Banker Realty,2024-02-09,$212500,5227,5227.2,Square Feet,1925,2339,6.58,402824000000,27053
54622693,1790 Girard Ave S,Minneapolis,55403,MN,FOR_SALE,Lowry Hill,MULTI_FAMILY,3 Bedrooms,3  Bathrooms,$575000,UNKNOWN,UNKNOWN,8 Days,8 days,Keller Williams Integrity Realty,2024-02-09,$485000,10018,10018.8,Square Feet,1959,2339,6.615,2802920000000,27053
1726376,3501 Zenith Ave S,Minneapolis,55416,MN,FOR_SALE,West Calhoun,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$3275000,$3286300,$8093,5 Days,5 days,Lakes Sotheby's International Realty,2024-02-12,$1110000,27442,0.63,Acres,1929,2339,6.894,502824000000,27053
1726404,3700 Zenith Ave S,Minneapolis,55410,MN,FOR_SALE,Linden Hills,SINGLE_FAMILY,5 Bedrooms,5  Bathrooms,$1224900,$1248100,$6251,3 Days,3 days,REMAX Advantage Plus,2024-02-14,$710000,11761,0.27,Acres,1959,2339,6.894,502824000000,27053
1803487,2654 Cleveland St NE,Minneapolis,55418,MN,FOR_SALE,Audubon Park,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$340000,$339700,$2014,18 Days,18 days,Coldwell Banker Realty,2024-01-30,$312000,5227,5227.2,Square Feet,1924,2339,6.58,1202920000000,27053
1717956,3339 Holmes Ave S,Minneapolis,55408,MN,FOR_SALE,East Calhoun,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$799900,$813300,$4347,2 Days,2 days,eXp Realty,2024-02-15,$350000,5227,5227.2,Square Feet,1910,2339,6.615,402824000000,27053
1717335,3321 Emerson Ave S,Minneapolis,55408,MN,FOR_SALE,Calhoun,MULTI_FAMILY,8 Bedrooms,4  Bathrooms,$525000,UNKNOWN,$5352,1 Days,1 day,Lakes Sotheby's International Realty,2024-02-16,$550000,5227,5227.2,Square Feet,1922,2339,6.58,402824000000,27053
2072238327,3559 Girard Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,MULTI_FAMILY,5 Bedrooms,4  Bathrooms,$99900,$103500,$3425,37 Days,37 days,eXp Realty,2024-01-11,UNKNOWN,4791,4791.6,Square Feet,1911,2339,NULL,NULL,NULL
2001252,2645 Humboldt Ave S,Minneapolis,55408,MN,FOR_SALE,East Isles,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$675000,$684600,$4052,5 Days,5 days,Realty Executives Associates,2024-02-13,$542000,0,0.15,Square Feet,1904,2339,6.615,3302920000000,27053
1807678,5211 Camden Ave N,Minneapolis,55430,MN,FOR_SALE,Lind-Bohanon,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$159900,$153600,$1379,29 Days,29 days,NextHome Metro Real Estate Services,2024-01-19,$72500,3920,3920.4,Square Feet,1931,2339,NULL,1211820000000,27053
1812949,1176 14th Ave SE,Minneapolis,55414,MN,FOR_SALE,Southeast Como,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$325000,UNKNOWN,UNKNOWN,59 Days,59 days,Coldwell Banker Realty,2023-12-20,$300000,4356,4356,Square Feet,1911,2339,6.58,1302920000000,27053
1775307,2640 Dupont Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$199000,$194900,$2664,44 Days,44 days,ATD Realty,2024-01-04,$76000,5227,5227.2,Square Feet,1900,2339,NULL,902924000000,27053
2052881804,2848 W River Pkwy S,Minneapolis,55406,MN,FOR_SALE,Cooper,SINGLE_FAMILY,5 Bedrooms,4  Bathrooms,$1449900,$1440200,$5249,130 Days,130 days,REMAX Professionals,2023-10-10,UNKNOWN,13503,0.31,Acres,1940,2339,6.894,NULL,NULL
1720250,3841 Aldrich Ave N,Minneapolis,55412,MN,FOR_SALE,Webber-Camden,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$275000,$281000,$2247,2 Days,2 days,Keller Williams Premier Realty Lake Minnetonka,2024-02-15,$150000,5227,5227.2,Square Feet,1916,2339,6.58,402924000000,27053
1839439,1558 Hillside Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$265000,$267400,$2796,2 Days,2 days,"Scates Real Estate, LLC",2024-02-15,$159900,5662,5662.8,Square Feet,1916,2339,6.58,1602920000000,27053
1851021,1401 Penn Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,3 Bedrooms,3  Bathrooms,$230000,UNKNOWN,$2297,15 Days,15 days,eXp Realty,2024-02-02,$148000,5227,5227.2,Square Feet,1924,2339,NULL,1702920000000,27053
1695569,3523 25th Ave S,Minneapolis,55406,MN,FOR_SALE,Corcoran,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$249900,$255800,$1588,10 Days,10 days,Coldwell Banker Realty,2024-02-07,$90954,5227,5227.2,Square Feet,1913,2339,NULL,102824000000,27053
1897451,1134 James Ave N,Minneapolis,55411,MN,FOR_SALE,Near North,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$215000,$217900,$2299,4 Days,4 days,"Real Broker, LLC",2024-02-13,$179900,5227,5227.2,Square Feet,1914,2339,NULL,2102920000000,27053
1796179,5137 Washburn Ave N,Minneapolis,55430,MN,FOR_SALE,Shingle Creek,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$275000,$279300,$2014,3 Days,3 days,Keller Williams Classic Rlty NW,2024-02-14,$135000,6098,6098.4,Square Feet,1954,2339,6.58,1111820000000,27053
1951004,735 Kenwood Pkwy,Minneapolis,55403,MN,FOR_SALE,Lowry Hill,SINGLE_FAMILY,4 Bedrooms,5  Bathrooms,$1035000,UNKNOWN,UNKNOWN,12 Days,12 days,Coldwell Banker Realty,2024-02-05,$600000,13939,0.32,Acres,1921,2339,6.894,2802920000000,27053
1707061,3466 3rd St NE,Minneapolis,55418,MN,FOR_SALE,Columbia Park,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$200000,$204600,$1681,4 Days,4 days,REMAX Results,2024-02-13,$160000,5227,5227.2,Square Feet,1900,2339,NULL,202924000000,27053
101660752,1708 8th Ave N,Minneapolis,55411,MN,FOR_SALE,Near North,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$329900,$329200,$2664,106 Days,106 days,eXp Realty,2023-11-03,UNKNOWN,4356,4356,Square Feet,2023,2339,6.58,2102920000000,27053
1711333,315 32nd St W,Minneapolis,55408,MN,FOR_SALE,Lyndale,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$375000,$378200,$2837,6 Days,6 days,eXp Realty,2024-02-11,$316500,1742,1742.4,Square Feet,1906,2339,6.58,302824000000,27053
1795857,4907 Oliver Ave N,Minneapolis,55430,MN,FOR_SALE,Shingle Creek,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$239900,$243400,$1965,2 Days,2 days,Upslope Realty,2024-02-15,$49000,4791,4791.6,Square Feet,1956,2339,NULL,1111820000000,27053
1850155,2118 Queen Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$140000,$132600,$1535,64 Days,64 days,Keller Williams Classic Rlty NW,2023-12-15,$17000,5227,5227.2,Square Feet,1911,2339,NULL,1702920000000,27053
1772319,3506 Dupont Ave N,Minneapolis,55412,MN,FOR_SALE,Mckinley,SINGLE_FAMILY,5 Bedrooms,4  Bathrooms,$379900,$251100,$1275,2 Days,2 days,Premier Realty LLC,2024-02-15,$4000,5662,5662.8,Square Feet,1919,2339,6.58,902924000000,27053
1950846,1920 Irving Ave S,Minneapolis,55403,MN,FOR_SALE,Lowry Hill,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$1395000,$1404100,$7294,2 Days,2 days,Coldwell Banker Realty,2024-02-15,$275000,6534,6534,Square Feet,1902,2339,6.894,2802920000000,27053
1783917,2754 Randolph St NE,Minneapolis,55418,MN,FOR_SALE,Marshall Terrace,MULTI_FAMILY,6 Bedrooms,4  Bathrooms,$509900,$510500,$2482,9 Days,9 days,REMAX Advantage Plus,2024-02-08,$139000,6969,6969.6,Square Feet,1985,2339,6.58,1002920000000,27053
1793841,2001 3rd St NE,Minneapolis,55418,MN,FOR_SALE,Bottineau,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$379500,$390300,$2013,3 Days,3 days,John McGovern,2024-02-14,$262251,3920,3920.4,Square Feet,1960,2339,6.58,1102920000000,27053
118633261,1415 Mount Curve Ave,Minneapolis,55403,MN,FOR_SALE,Lowry Hill,SINGLE_FAMILY,8 Bedrooms,10  Bathrooms,$3250000,UNKNOWN,UNKNOWN,22 Days,22 days,"Edina Realty, Inc.",2024-01-26,$1260000,26571,0.61,Acres,1906,2339,6.894,2802920000000,27053
1774010,3022 Logan Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$214900,$218200,$1500,2 Days,2 days,Keller Williams Integrity Realty,2024-02-15,$200000,5227,5227.2,Square Feet,1932,2339,NULL,902924000000,27053
1990976,2200 Drew Ave S,Minneapolis,55416,MN,FOR_SALE,Bryn Mawr,SINGLE_FAMILY,5 Bedrooms,4  Bathrooms,$2280000,UNKNOWN,UNKNOWN,9 Days,9 days,eXp Realty,2024-02-08,$900000,10018,10018.8,Square Feet,1953,2339,6.894,3202920000000,27053
1951020,1324 Douglas Ave,Minneapolis,55403,MN,FOR_SALE,Lowry Hill,SINGLE_FAMILY,5 Bedrooms,3  Bathrooms,$599000,$584700,$3536,70 Days,70 days,Coldwell Banker Realty,2023-12-09,UNKNOWN,6969,6969.6,Square Feet,1909,2339,6.615,2802920000000,27053
2054435714,33&35 Melbourne Ave SE,Minneapolis,55414,MN,FOR_SALE,Prospect Park,MULTI_FAMILY,6 Bedrooms,3  Bathrooms,$690000,UNKNOWN,$3294,16 Days,16 days,"Real Broker, LLC",2024-02-01,UNKNOWN,9583,9583.2,Square Feet,1953,2339,6.615,NULL,NULL
54621655,2519 27th Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$85000,UNKNOWN,$1500,51 Days,51 days,Homefield Realty,2023-12-28,$91161,8712,8712,Square Feet,1915,2339,NULL,802924000000,27053
1959841,720 Cedar Lake Rd S,Minneapolis,55405,MN,FOR_SALE,Bryn Mawr,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$299900,UNKNOWN,UNKNOWN,36 Days,36 days,eXp Realty,2024-01-12,$194900,5227,5227.2,Square Feet,1921,2339,6.58,2902920000000,27053
1839942,1515 Knox Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$215000,$218500,$2500,23 Days,23 days,eXp Realty,2024-01-25,$51051,5662,5662.8,Square Feet,1911,2339,NULL,1602920000000,27053
1704702,3021 Park Ave,Minneapolis,55407,MN,FOR_SALE,Central,SINGLE_FAMILY,5 Bedrooms,4  Bathrooms,$369900,$364800,$4300,30 Days,30 days,REMAX Advantage Plus,2024-01-18,$218000,4791,4791.6,Square Feet,1900,2339,6.58,202824000000,27053
1710812,3348 1st Ave S,Minneapolis,55408,MN,FOR_SALE,Lyndale,SINGLE_FAMILY,5 Bedrooms,3  Bathrooms,$525000,$529000,$3658,18 Days,18 days,Keller Williams Integrity Realty,2024-01-30,$344000,5662,5662.8,Square Feet,1905,2339,6.58,302824000000,27053
1717788,3207 E Bde Maka Ska Pkwy,Minneapolis,55408,MN,FOR_SALE,East Calhoun,SINGLE_FAMILY,4 Bedrooms,5  Bathrooms,$1399000,UNKNOWN,UNKNOWN,5 Days,5 days,"Edina Realty, Inc.",2024-02-12,$1250000,10018,10018.8,Square Feet,1906,2339,6.894,402824000000,27053
1719387,4203 Humboldt Ave N,Minneapolis,55412,MN,FOR_SALE,Webber-Camden,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$165000,$167800,$1350,9 Days,9 days,Anderson Realty,2024-02-08,$149900,6098,6098.4,Square Feet,1917,2339,NULL,402924000000,27053
1694827,2230 E 36th St,Minneapolis,55407,MN,FOR_SALE,Corcoran,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$299900,$309500,$2282,4 Days,4 days,HomeSmart Sapphire Realty,2024-02-13,UNKNOWN,5227,5227.2,Square Feet,1921,2339,6.58,102824000000,27053
1772914,3315 Colfax Ave N,Minneapolis,55412,MN,FOR_SALE,Mckinley,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$159900,$158600,$1949,16 Days,16 days,eXp Realty,2024-02-01,$80000,6534,6534,Square Feet,1922,2339,NULL,902924000000,27053
2061686291,2706 W Lake Of The Isles Pkwy,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,7 Bedrooms,9  Bathrooms,$4495000,$4135900,$22104,183 Days,183 days,Lakes Sotheby's International Realty,2023-08-18,$1800000,31798,0.73,Acres,1911,2339,6.894,NULL,NULL
1736835,3551 34th Ave S,Minneapolis,55406,MN,FOR_SALE,Howe,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$324000,$317900,$1976,24 Days,24 days,NAI Legacy,2024-01-24,$187500,5227,5227.2,Square Feet,1925,2339,6.58,602823000000,27053
1712499,3411 1st Ave S,Minneapolis,55408,MN,FOR_SALE,Lyndale,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$379000,$382300,$2166,8 Days,8 days,Redfin Corporation,2024-02-09,$300000,4791,4791.6,Square Feet,1915,2339,6.58,302824000000,27053
1710822,3322 Stevens Ave,Minneapolis,55408,MN,FOR_SALE,Lyndale,MULTI_FAMILY,3 Bedrooms,2  Bathrooms,$249900,UNKNOWN,UNKNOWN,8 Days,8 days,Keller Williams Integrity Realty,2024-02-09,UNKNOWN,5662,5662.8,Square Feet,1900,2339,NULL,302824000000,27053
1772587,3335 Dupont Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$160000,$162800,$1869,8 Days,8 days,eXp Realty,2024-02-09,$155000,5662,5662.8,Square Feet,1918,2339,NULL,902924000000,27053
1840060,1315 Golden Valley Rd,Minneapolis,55411,MN,FOR_SALE,Near North,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$239000,$235100,$2857,16 Days,16 days,Coldwell Banker Realty,2024-02-01,$215000,3484,3484.8,Square Feet,1900,2339,NULL,1602920000000,27053
1738068,3601 39th Ave S,Minneapolis,55406,MN,FOR_SALE,Howe,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$385000,UNKNOWN,UNKNOWN,11 Days,11 days,"Grimm & Associates, LLC",2024-02-06,$240000,5227,5227.2,Square Feet,1916,2339,6.58,602823000000,27053
1728866,3711 Queen Ave N,Minneapolis,55412,MN,FOR_SALE,Cleveland,SINGLE_FAMILY,2 Bedrooms,2  Bathrooms,$224900,$219000,$1817,58 Days,58 days,Keller Williams Integrity Realty,2023-12-21,$164000,5227,5227.2,Square Feet,1926,2339,NULL,502924000000,27053
1718945,4234 Humboldt Ave N,Minneapolis,55412,MN,FOR_SALE,Webber-Camden,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$169900,$167800,$1550,31 Days,31 days,NextHome Metro Real Estate Services,2024-01-17,$93000,4791,4791.6,Square Feet,1923,2339,NULL,402924000000,27053
1728284,3807 Sheridan Ave N,Minneapolis,55412,MN,FOR_SALE,Victory,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$209900,$215800,$2065,4 Days,4 days,Realty Executives Top Results,2024-02-13,$108000,4791,4791.6,Square Feet,1921,2339,NULL,502924000000,27053
1791406,4029 Portland Ave,Minneapolis,55407,MN,FOR_SALE,Bryant,SINGLE_FAMILY,4 Bedrooms,1  Bathrooms,$265000,$270400,$2014,9 Days,9 days,eXp Realty,2024-02-08,$165000,4791,4791.6,Square Feet,1918,2339,6.58,1102820000000,27053
2017059,2737 Columbus Ave,Minneapolis,55407,MN,FOR_SALE,Phillips West,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$245300,UNKNOWN,UNKNOWN,22 Days,22 days,"Home Smart Realty, Inc.",2024-01-26,$164900,5227,5227.2,Square Feet,1911,2339,NULL,3502920000000,27053
1773198,3527 James Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$175000,$174200,$1662,16 Days,16 days,REMAX Results,2024-02-01,$123000,4791,4791.6,Square Feet,1915,2339,NULL,902924000000,27053
1774799,718 30th Ave N,Minneapolis,55411,MN,FOR_SALE,Hawthorne,SINGLE_FAMILY,4 Bedrooms,1  Bathrooms,$249900,$251300,$1963,2 Days,2 days,Realty Inc,2024-02-15,$170000,4791,4791.6,Square Feet,1912,2339,NULL,902924000000,27053
1695401,3433 Snelling Ave,Minneapolis,55406,MN,FOR_SALE,Howe,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$440000,UNKNOWN,UNKNOWN,4 Days,4 days,"Edina Realty, Inc.",2024-02-13,$263000,6098,6098.4,Square Feet,1917,2339,6.58,102824000000,27053
1727298,4000 Queen Ave N,Minneapolis,55412,MN,FOR_SALE,Victory,SINGLE_FAMILY,3 Bedrooms,3  Bathrooms,$289900,$282400,$2548,164 Days,164 days,REMAX Results,2023-09-06,$204000,4791,4791.6,Square Feet,2001,2339,6.58,502924000000,27053
1936126,1005 19th St E,Minneapolis,55404,MN,FOR_SALE,Ventura Village,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$309900,$306800,$2705,25 Days,25 days,Empire Realty LLC,2024-01-23,$175000,3920,3920.4,Square Feet,1900,2339,6.58,2602920000000,27053
1781042,3820 Clinton Ave,Minneapolis,55409,MN,FOR_SALE,Bryant,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$249900,$243300,$1999,36 Days,36 days,BLVD Realty INC,2024-01-12,$51000,5227,5227.2,Square Feet,1900,2339,NULL,1002820000000,27053
2017289,2932 Park Ave,Minneapolis,55407,MN,FOR_SALE,Phillips West,MULTI_FAMILY,7 Bedrooms,7  Bathrooms,$619900,$588300,$5318,180 Days,180 days,"Savvy Avenue, LLC",2023-08-21,$282000,5227,5227.2,Square Feet,1890,2339,6.615,3502920000000,27053
1784001,2527 California St NE,Minneapolis,55418,MN,FOR_SALE,Marshall Terrace,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$364900,$355700,$2423,20 Days,20 days,REMAX Professionals,2024-01-28,$255000,4791,4791.6,Square Feet,1911,2339,6.58,1002920000000,27053
1774931,3014 Humboldt Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$199900,$201900,$1552,3 Days,3 days,REMAX Advantage Plus,2024-02-14,$77200,5580,5580,Square Feet,1912,2339,NULL,902924000000,27053
1704561,3021 11th Ave S,Minneapolis,55407,MN,FOR_SALE,Powderhorn Park,MULTI_FAMILY,6 Bedrooms,2  Bathrooms,$450000,$455000,$3362,5 Days,5 days,Keller Williams Classic Realty,2024-02-12,$81900,6969,6969.6,Square Feet,1916,2339,6.58,202824000000,27053
2001067,2500 Lake Pl,Minneapolis,55405,MN,FOR_SALE,East Isles,SINGLE_FAMILY,6 Bedrooms,6  Bathrooms,$2675000,$2477700,$13386,225 Days,225 days,Lakes Sotheby's International Realty,2023-07-07,$2175600,13503,0.31,Acres,1909,2339,6.894,3302920000000,27053
1830939,2200 Lyndale Ave N,Minneapolis,55411,MN,FOR_SALE,Hawthorne,MULTI_FAMILY,7 Bedrooms,3  Bathrooms,$109900,$103700,$3740,46 Days,46 days,REMAX Results,2024-01-02,$175000,7405,7405.2,Square Feet,1911,2339,NULL,1502920000000,27053
1783926,47 Lowry Ave NE,Minneapolis,55418,MN,FOR_SALE,Marshall Terrace,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$350000,$336000,$2500,129 Days,129 days,REMAX Results,2023-10-11,$164902,5662,5662.8,Square Feet,1904,2339,6.58,1002920000000,27053
2000812,2212 Irving Ave S,Minneapolis,55405,MN,FOR_SALE,East Isles,MULTI_FAMILY,7 Bedrooms,3  Bathrooms,$1199000,$1192700,$5484,12 Days,12 days,Coldwell Banker Realty,2024-02-05,$3650,7840,7840.8,Square Feet,1914,2339,6.894,3302920000000,27053
1773367,3410 Oliver Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,1 Bedrooms,1  Bathrooms,$71250,$67900,$1224,20 Days,20 days,City of Lakes Community Realty,2024-01-28,$60000,4791,4791.6,Square Feet,1900,2339,NULL,902924000000,27053
1897568,1018 Morgan Ave N,Minneapolis,55411,MN,FOR_SALE,Near North,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$275000,$272000,$2768,15 Days,15 days,REMAX Results,2024-02-02,$191050,5227,5227.2,Square Feet,1912,2339,6.58,2102920000000,27053
1991256,3511 Saint Paul Ave,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$589900,$569700,$2613,100 Days,100 days,"Savvy Avenue, LLC",2023-11-09,$383800,6534,6534,Square Feet,1953,2339,6.615,3202920000000,27053
1717073,3029 Dupont Ave S,Minneapolis,55408,MN,FOR_SALE,Calhoun,MULTI_FAMILY,6 Bedrooms,3  Bathrooms,$420000,$410200,$3658,32 Days,32 days,REMAX Results,2024-01-16,$86250,6098,6098.4,Square Feet,1909,2339,6.58,402824000000,27053
2023282,2822 29th St E,Minneapolis,55406,MN,FOR_SALE,Longfellow,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$259900,UNKNOWN,UNKNOWN,100 Days,100 days,"Edina Realty, Inc.",2023-11-09,$92597,3920,3920.4,Square Feet,1903,2339,6.58,3602920000000,27053
1718491,3613 Dupont Ave S,Minneapolis,55409,MN,FOR_SALE,East Harriet,SINGLE_FAMILY,3 Bedrooms,3  Bathrooms,$599900,UNKNOWN,UNKNOWN,71 Days,71 days,Lakes Sotheby's International Realty,2023-12-08,$421000,5227,5227.2,Square Feet,1905,2339,6.615,402824000000,27053
1728216,3827 Russell Ave N,Minneapolis,55412,MN,FOR_SALE,Victory,SINGLE_FAMILY,4 Bedrooms,1  Bathrooms,$294900,$303400,$1749,3 Days,3 days,James M. Waters,2024-02-14,$126000,5227,5227.2,Square Feet,1921,2339,6.58,502924000000,27053
1712309,3416 5th Ave S,Minneapolis,55408,MN,FOR_SALE,Central,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$398750,$400800,$2753,9 Days,9 days,Coldwell Banker Realty,2024-02-08,$268000,5227,5227.2,Square Feet,1905,2339,6.58,302824000000,27053
1849636,2512 23rd Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$251000,$245200,$2428,30 Days,30 days,Keller Williams Integrity NW,2024-01-18,$245000,4356,4356,Square Feet,1905,2339,6.58,1702920000000,27053
1793034,675 Lowry Ave NE,Minneapolis,55418,MN,FOR_SALE,Holland,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$349000,$337700,$2265,106 Days,106 days,National Realty Guild,2023-11-03,$267575,5662,5662.8,Square Feet,1900,2339,6.58,1102920000000,27053
2001827,2701 Colfax Ave S,Minneapolis,55408,MN,FOR_SALE,Lowry Hill East,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$474900,$466200,$2740,56 Days,56 days,Lentsch Company,2023-12-23,$434000,3920,3920.4,Square Feet,1900,2339,6.58,3302920000000,27053
1717869,3232 Holmes Ave S,Minneapolis,55408,MN,FOR_SALE,East Calhoun,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$775000,UNKNOWN,$4106,46 Days,46 days,Keller Williams Premier Realty Lake Minnetonka,2024-01-02,$715000,5662,5662.8,Square Feet,1907,2339,6.615,402824000000,27053
1720197,3919 Lyndale Ave N,Minneapolis,55412,MN,FOR_SALE,Webber-Camden,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$199900,$198000,$1994,31 Days,31 days,NextHome Metro Real Estate Services,2024-01-17,$123000,4791,4791.6,Square Feet,1926,2339,NULL,402924000000,27053
1976627,2412 33rd Ave S,Minneapolis,55406,MN,FOR_SALE,Seward,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$574900,$556900,$2500,143 Days,143 days,Lakes Sotheby's International Realty,2023-09-27,$182000,6098,6098.4,Square Feet,1912,2339,6.615,3102920000000,27053
1772371,3500 Girard Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$79900,$77200,$1599,29 Days,29 days,NextHome Metro Real Estate Services,2024-01-19,$80000,5227,5227.2,Square Feet,1915,2339,NULL,902924000000,27053
1822415,739 Jefferson St NE,Minneapolis,55413,MN,FOR_SALE,Saint Anthony East,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$550000,$543800,$2623,5 Days,5 days,HomeAvenue Inc,2024-02-12,$259000,5227,5227.2,Square Feet,1904,2339,6.58,1402920000000,27053
1712864,331 37th St E,Minneapolis,55409,MN,FOR_SALE,Central,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$249000,$246000,$1994,16 Days,16 days,eXp Realty,2024-02-01,$136500,2178,2178,Square Feet,1923,2339,NULL,302824000000,27053
1774883,3100 Emerson Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$160000,$157500,$1855,29 Days,29 days,eXp Realty,2024-01-19,$35000,5662,5662.8,Square Feet,1911,2339,NULL,902924000000,27053
1773064,3539 Irving Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$199900,$197500,$2099,31 Days,31 days,NextHome Metro Real Estate Services,2024-01-17,$48500,5227,5227.2,Square Feet,1922,2339,NULL,902924000000,27053
1850553,1718 Thomas Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$295000,$281500,$2541,176 Days,176 days,"BuySelf, Inc",2023-08-25,$6675,5227,5227.2,Square Feet,1925,2339,6.58,1702920000000,27053
