Zillow zpid,Street Address,City,Zip Code,State,Status,Neighborhood,Type,Number of Beds,Number of Bathrooms,price,Property Value Estimate,Property Rent Estimate,Days on Zillow,Time on Zillow,brokerageName,Date_Posted,Last Sold Price,Lot Size,Lot Area Value,lot Area Units,Year Built,CountyID,ThirtyYearFixedRate,ParcelID,countyFIPS
2088452101,2529 Polk St NE,Minneapolis,55418,MN,FOR_SALE,Audubon Park,MULTI_FAMILY,6 Bedrooms,4  Bathrooms,$775000,$772500,$4100,92 Days,92 days,Realty ONE Group Choice,2023-11-17,UNKNOWN,10454,10454.4,Square Feet,1900,2339,6.615,NULL,NULL
1717221,3140 Fremont Ave S,Minneapolis,55408,MN,FOR_SALE,Calhoun,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$549900,$559200,$2913,5 Days,5 days,"Gold Group Realty, LLC",2024-02-12,UNKNOWN,6098,6098.4,Square Feet,1909,2339,6.58,402824000000,27053
1728370,3850 Upton Ave N,Minneapolis,55412,MN,FOR_SALE,Victory,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$310000,$314500,$1860,10 Days,10 days,Land and Living Realty,2024-02-07,$281475,5227,5227.2,Square Feet,1924,2339,6.58,502924000000,27053
1772383,3550 Girard Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$134900,UNKNOWN,$1594,62 Days,62 days,NextHome Metro Real Estate Services,2023-12-17,$60000,5227,5227.2,Square Feet,1918,2339,NULL,902924000000,27053
2022304,2200 28th Ave S,Minneapolis,55406,MN,FOR_SALE,Seward,SINGLE_FAMILY,6 Bedrooms,2  Bathrooms,$495000,$477400,$3229,169 Days,169 days,Coldwell Banker Realty,2023-09-01,$90000,4791,4791.6,Square Feet,1969,2339,6.58,3602920000000,27053
1808739,4649 Colfax Ave N,Minneapolis,55412,MN,FOR_SALE,Lind-Bohanon,SINGLE_FAMILY,4 Bedrooms,1  Bathrooms,$234990,UNKNOWN,UNKNOWN,30 Days,30 days,eXp Realty,2024-01-18,$210000,4791,4791.6,Square Feet,1900,2339,NULL,1211820000000,27053
1830799,626 23rd Ave N,Minneapolis,55411,MN,FOR_SALE,Hawthorne,SINGLE_FAMILY,5 Bedrooms,1  Bathrooms,$195000,$217400,$2064,100 Days,100 days,Rize Realty,2023-11-09,$220000,4791,4791.6,Square Feet,1883,2339,NULL,1502920000000,27053
1921090,1023 17th Ave SE,Minneapolis,55414,MN,FOR_SALE,Southeast Como,MULTI_FAMILY,9 Bedrooms,5  Bathrooms,$849900,$855200,$3300,4 Days,4 days,"Gold Group Realty, LLC",2024-02-13,$373169,5662,5662.8,Square Feet,1900,2339,6.615,2402920000000,27053
1960012,1148 Xerxes Ave S,Minneapolis,55405,MN,FOR_SALE,Bryn Mawr,SINGLE_FAMILY,3 Bedrooms,3  Bathrooms,$825000,$802900,$4424,24 Days,24 days,Keller Williams Integrity Realty,2024-01-24,$220000,15245,0.35,Acres,1941,2339,6.615,2902920000000,27053
1772471,3549 Dupont Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$339900,$332800,$2800,216 Days,216 days,REMAX HomeMasters,2023-07-16,$3800,5227,5227.2,Square Feet,2023,2339,6.58,902924000000,27053
